Neighborhood_ID,Neighborhood,Crime_Rate,Year
22,Mott Haven,17262,2011
42,Olinville,9606,2011
63,Bushwick,24331,2011
72,Cypress Hills,5343,2011
106,Hamilton Heights,20544,2011
271,Concourse Village,15320,2011
272,Mount Eden,8129,2011
284,Weeksville,20278,2011
253,Midtown South,29818,2011
17,Fordham,24940,2011
186,Jamaica Estates,2709,2011
141,Downtown Flushing,11299,2011
61,Brownsville,25134,2011
10,Williamsbridge,7870,2011
273,Mount Hope,13700,2011
73,East New York,13107,2011
32,Westchester Square,3384,2011
239,Huguenot,755,2011
237,New Dorp Beach,1008,2011
57,East Flatbush,7112,2011
268,Pomonok,3953,2011
115,Lincoln Square,14547,2011
31,Parkchester,7662,2011
105,Inwood,8533,2011
53,Sheepshead Bay,4118,2011
161,Fresh Meadows,2253,2011
90,Ocean Hill,16970,2011
18,East Tremont,12698,2011
69,Gowanus,4513,2011
131,Financial District,8207,2011
214,New Dorp,1287,2011
275,Hunters Point,3249,2011
26,Morrisania,12193,2011
146,Ridgewood,18437,2011
285,Broadway Junction,8985,2011
251,Noho,9658,2011
117,Midtown,21680,2011
250,Carnegie Hill,7400,2011
265,Mill Basin,3221,2011
144,East Elmhurst,6072,2011
166,Hollis,5271,2011
122,Lower East Side,8962,2011
116,Clinton,17075,2011
104,Washington Heights,15206,2011
46,Edenwald,6102,2011
108,Central Harlem,30619,2011
9,Norwood,9517,2011
262,Remsen Village,7412,2011
47,Bay Ridge,7500,2011
111,Yorkville,4972,2011
44,Concourse,18761,2011
163,Jamaica Center,10995,2011
65,Brooklyn Heights,3035,2011
101,Ocean Parkway,5284,2011
83,Gerritsen Beach,3385,2011
20,High  Bridge,16308,2011
173,Far Rockaway,8989,2011
64,Bedford Stuyvesant,27352,2011
35,Belmont,9697,2011
16,Morris Heights,5362,2011
15,University Heights,11090,2011
7,Marble Hill,5998,2011
97,East Williamsburg,15756,2011
109,East Harlem,34364,2011
74,Starrett City,4481,2011
60,Prospect Heights,11499,2011
19,West Farms,11657,2011
21,Melrose,12383,2011
6,Kingsbridge,6355,2011
3,Eastchester,2030,2011
121,East Village,9815,2011
24,Longwood,10270,2011
150,Ozone Park,8685,2011
127,Manhattan Valley,12138,2011
283,Vinegar Hill,1583,2011
76,Flatlands,7974,2011
132,Astoria,9551,2011
286,Dumbo,1603,2011
274,Sutton Place,10157,2011
79,Coney Island,6954,2011
168,St. Albans,6802,2011
107,Manhattanville,10029,2011
270,Claremont Village,12406,2011
89,Prospect Lefferts Gardens,16962,2011
126,West Village,14698,2011
147,Glendale,4110,2011
25,Hunts Point,5549,2011
263,New Lots,14666,2011
225,Wingate,8481,2011
128,Morningside Heights,8228,2011
259,Randall Manor,876,2011
200,St. George,3615,2011
98,North Side,5865,2011
170,Springfield Gardens,4299,2011
189,Ravenswood,7309,2011
244,Arden Heights,1591,2011
154,Bayside,4344,2011
27,Soundview,17804,2011
54,Manhattan Terrace,2879,2011
86,Sea Gate,2671,2011
120,Greenwich Village,9827,2011
43,Pelham Gardens,3228,2011
82,Dyker Heights,4189,2011
234,Dongan Hills,1397,2011
87,Downtown,9089,2011
94,Prospect Park South,9487,2011
56,Crown Heights,13207,2011
266,Jamaica Hills,2974,2011
133,Woodside,8378,2011
196,Brookville,1474,2011
88,Boerum Hill,7881,2011
75,Canarsie,8402,2011
226,Rugby,8711,2011
71,Park Slope,5458,2011
137,South Corona,3937,2011
124,Little Italy,4055,2011
252,Civic Center,4564,2011
85,Clinton Hill,7669,2011
142,Long Island City,4420,2011
171,Cambria Heights,3638,2011
184,Floral Park,942,2011
152,College Point,2987,2011
183,Murray Hill,3631,2011
279,Flatiron,18948,2011
140,Richmond Hill,10932,2011
103,Chinatown,6872,2011
49,Sunset Park,17352,2011
129,Gramercy,9988,2011
227,Park Hill,2571,2011
59,Windsor Terrace,3428,2011
70,Fort Greene,5511,2011
11,Baychester,3047,2011
50,Greenpoint,4998,2011
224,Ditmas Park,6535,2011
110,Upper East Side,4049,2011
39,Schuylerville,3934,2011
164,Oakland Gardens,2280,2011
181,Seaside,3612,2011
169,Rochdale,16118,2011
45,Unionport,6081,2011
197,Bellaire,2809,2011
134,Jackson Heights,11981,2011
277,Tudor City,3057,2011
91,City Line,9898,2011
125,Soho,6474,2011
93,Midwood,6147,2011
192,Lefrak City,9080,2011
167,South Jamaica,13305,2011
158,Glen Oaks,1462,2011
204,West Brighton,2764,2011
148,Rego Park,4453,2011
236,Grant City,2443,2011
12,Pelham Parkway,6566,2011
176,Steinway,3486,2011
81,Borough Park,8187,2011
185,Holliswood,2083,2011
114,Upper West Side,9218,2011
145,Maspeth,4211,2011
195,Somerville,1632,2011
14,Bedford Park,10378,2011
213,Travis,293,2011
292,Homecrest,4526,2011
165,Queens Village,3932,2011
203,Rosebank,684,2011
48,Bensonhurst,7881,2011
162,Briarwood,4783,2011
198,North Corona,7728,2011
187,Queensboro Hill,3094,2011
149,Woodhaven,6480,2011
299,Madison,3186,2011
208,Port Richmond,4161,2011
256,Clifton,1182,2011
287,Manor Heights,657,2011
62,Williamsburg,6906,2011
58,Kensington,5474,2011
261,Elm Park,1615,2011
38,Pelham Bay,1680,2011
2,Co-op City,4122,2011
220,Tottenville,1381,2011
8,Woodlawn,2636,2011
112,Lenox Hill,5282,2011
276,Turtle Bay,3729,2011
264,Paerdegat Basin,2995,2011
194,Rockaway Park,1069,2011
55,Flatbush,7696,2011
135,Elmhurst,10080,2011
201,New Brighton,2451,2011
102,Fort Hamilton,2038,2011
209,Mariner's Harbor,1340,2011
51,Gravesend,6487,2011
68,Red Hook,2940,2011
298,Highland Park,5717,2011
151,South Ozone Park,8762,2011
205,Grymes Hill,1981,2011
232,Grasmere,950,2011
199,Forest Hills Gardens,2505,2011
191,Laurelton,3020,2011
100,Navy Yard,1589,2011
5,Riverdale,1038,2011
95,Georgetown,2768,2011
216,Great Kills,1939,2011
293,Middle Village,2674,2011
99,South Side,3807,2011
84,Marine Park,3417,2011
13,City Island,645,2011
230,Arlington,2328,2011
138,Forest Hills,3461,2011
179,Edgemere,2180,2011
160,Kew Gardens Hills,2530,2011
153,Whitestone,1883,2011
80,Bath Beach,7039,2011
269,Astoria Heights,2177,2011
190,Lindenwood,3000,2011
33,Van Nest,6815,2011
67,Carroll Gardens,2546,2011
136,Howard Beach,1247,2011
240,Pleasant Plains,380,2011
242,Charleston,264,2011
66,Cobble Hill,2326,2011
294,Prince's Bay,745,2011
280,Sunnyside Gardens,7018,2011
288,Willowbrook,1070,2011
207,South Beach,441,2011
211,Castleton Corners,875,2011
180,Arverne,1812,2011
96,Spring Creek,3445,2011
246,Heartland Village,3680,2011
41,Castle Hill,4414,2011
4,Fieldston,953,2011
172,Rosedale,2315,2011
34,Morris Park,2370,2011
156,Little Neck,605,2011
229,Graniteville,2104,2011
278,Stuyvesant Town,1846,2011
155,Auburndale,2897,2011
221,Tompkinsville,2168,2011
289,Sandy Ground,926,2011
1,Wakefield,5384,2011
228,Westerleigh,1242,2011
290,Egbertville,170,2011
255,Shore Acres,757,2011
23,Port Morris,539,2011
217,Eltingville,1717,2011
139,Kew Gardens,2649,2011
223,Sunnyside,592,2011
188,Hillcrest,1291,2011
28,Clason Point,1079,2011
233,Old Town,852,2011
218,Annadale,655,2011
245,Greenridge,1070,2011
52,Brighton Beach,9209,2011
254,Richmond Town,708,2011
282,Fulton Ferry,656,2011
113,Roosevelt Island,1817,2011
249,Bulls Head,1214,2011
257,Concord,448,2011
78,Manhattan Beach,763,2011
174,Broad Channel,520,2011
297,Malba,704,2011
215,Oakwood,830,2011
206,Todt Hill,153,2011
123,Tribeca,2458,2011
130,Battery Park City,672,2011
30,Country Club,1726,2011
281,Blissville,2167,2011
238,Bay Terrace,944,2011
40,Edgewater Park,1125,2011
202,Stapleton,2369,2011
36,Spuyten Duyvil,899,2011
235,Midland Beach,856,2011
231,Arrochar,1203,2011
29,Throgs Neck,1294,2011
177,Beechhurst,1340,2011
212,New Springville,640,2011
175,Breezy Point,197,2011
267,Utopia,752,2011
37,North Riverdale,1202,2011
159,Bellerose,1084,2011
258,Emerson Hill,283,2011
157,Douglaston,979,2011
248,Bloomfield,256,2011
296,Richmond Valley,422,2011
243,Rossville,941,2011
222,Silver Lake,459,2011
247,Chelsea,229,2011
210,Port Ivory,495,2011
291,Roxbury,73,2011
77,Mill Island,572,2011
260,Howland Hook,55,2011
295,Lighthouse Hill,130,2011
193,Belle Harbor,266,2011
241,Butler Manor,278,2011
219,Woodrow,267,2011
92,Bergen Beach,221,2011
182,Neponsit,124,2011